Batch 696/1496, Batch Loss: 0.0009, Batch Accuracy: 1.0000
Batch 697/1496, Batch Loss: 0.7749, Batch Accuracy: 0.8000
Batch 698/1496, Batch Loss: 0.0012, Batch Accuracy: 1.0000
Batch 699/1496, Batch Loss: 1.1613, Batch Accuracy: 0.8000
Batch 700/1496, Batch Loss: 0.0014, Batch Accuracy: 1.0000
Batch 701/1496, Batch Loss: 0.0012, Batch Accuracy: 1.0000
Batch 702/1496, Batch Loss: 0.0644, Batch Accuracy: 1.0000
Batch 704/1496, Batch Loss: 0.0573, Batch Accuracy: 1.0000
Batch 703/1496, Batch Loss: 0.0213, Batch Accuracy: 1.0000
Batch 705/1496, Batch Loss: 0.0878, Batch Accuracy: 0.9000
Batch 706/1496, Batch Loss: 0.0006, Batch Accuracy: 1.0000
Batch 707/1496, Batch Loss: 0.7465, Batch Accuracy: 0.9000
Batch 708/1496, Batch Loss: 1.5820, Batch Accuracy: 0.8000
Batch 709/1496, Batch Loss: 0.0008, Batch Accuracy: 1.0000
Batch 710/1496, Batch Loss: 0.9178, Batch Accuracy: 0.8000
Batch 711/1496, Batch Loss: 0.0066, Batch Accuracy: 1.0000
Batch 712/1496, Batch Loss: 0.1680, Batch Accuracy: 0.9000
Batch 715/1496, Batch Loss: 0.0029, Batch Accuracy: 1.0000
Batch 714/1496, Batch Loss: 0.4672, Batch Accuracy: 0.9000
Batch 713/1496, Batch Loss: 0.0049, Batch Accuracy: 1.0000
Batch 716/1496, Batch Loss: 0.0007, Batch Accuracy: 1.0000
Batch 718/1496, Batch Loss: 0.0003, Batch Accuracy: 1.0000
Batch 717/1496, Batch Loss: 0.2388, Batch Accuracy: 0.9000
Batch 719/1496, Batch Loss: 0.0005, Batch Accuracy: 1.0000
Batch 720/1496, Batch Loss: 0.0032, Batch Accuracy: 1.0000
Batch 721/1496, Batch Loss: 0.5821, Batch Accuracy: 0.9000
Batch 722/1496, Batch Loss: 0.2590, Batch Accuracy: 0.9000
Batch 724/1496, Batch Loss: 0.0087, Batch Accuracy: 1.0000
Batch 723/1496, Batch Loss: 0.8176, Batch Accuracy: 0.8000
Batch 725/1496, Batch Loss: 0.6486, Batch Accuracy: 0.9000
Batch 726/1496, Batch Loss: 0.0512, Batch Accuracy: 1.0000
Batch 728/1496, Batch Loss: 0.4969, Batch Accuracy: 0.9000
Batch 727/1496, Batch Loss: 0.0007, Batch Accuracy: 1.0000
Batch 729/1496, Batch Loss: 0.0080, Batch Accuracy: 1.0000
Batch 730/1496, Batch Loss: 0.0080, Batch Accuracy: 1.0000
Batch 731/1496, Batch Loss: 0.6528, Batch Accuracy: 0.9000
Batch 732/1496, Batch Loss: 0.7724, Batch Accuracy: 0.8000
Batch 734/1496, Batch Loss: 0.0028, Batch Accuracy: 1.0000
Batch 733/1496, Batch Loss: 0.0015, Batch Accuracy: 1.0000
Batch 736/1496, Batch Loss: 0.0025, Batch Accuracy: 1.0000
Batch 735/1496, Batch Loss: 0.4137, Batch Accuracy: 0.9000
Batch 737/1496, Batch Loss: 0.0049, Batch Accuracy: 1.0000
Batch 738/1496, Batch Loss: 0.0010, Batch Accuracy: 1.0000
Batch 739/1496, Batch Loss: 0.0011, Batch Accuracy: 1.0000
Batch 740/1496, Batch Loss: 0.1035, Batch Accuracy: 0.9000
Batch 741/1496, Batch Loss: 0.0458, Batch Accuracy: 1.0000
Batch 742/1496, Batch Loss: 0.0017, Batch Accuracy: 1.0000
Batch 743/1496, Batch Loss: 0.6938, Batch Accuracy: 0.8000
Batch 744/1496, Batch Loss: 0.0011, Batch Accuracy: 1.0000
Batch 745/1496, Batch Loss: 0.0461, Batch Accuracy: 1.0000
Batch 746/1496, Batch Loss: 0.0010, Batch Accuracy: 1.0000
Batch 747/1496, Batch Loss: 0.0654, Batch Accuracy: 1.0000
Batch 748/1496, Batch Loss: 0.2185, Batch Accuracy: 0.9000
Batch 749/1496, Batch Loss: 0.0922, Batch Accuracy: 0.9000
Batch 750/1496, Batch Loss: 0.0817, Batch Accuracy: 0.9000
Batch 751/1496, Batch Loss: 0.0008, Batch Accuracy: 1.0000
